Date, CountAdvice , CountAssessment , CountOther , Total 
2020-03-23,971,88,9,"1,068"
2020-03-24,"1,267",137,6,"1,410"
2020-03-25,"1,177",160,5,"1,342"
2020-03-26,"1,174",141,8,"1,323"
2020-03-27,"1,039",155,17,"1,211"
2020-03-28,"1,352",105,10,"1,467"
2020-03-29,"1,473",104,20,"1,597"
2020-03-30,"1,243",199,15,"1,457"
2020-03-31,"1,346",242,19,"1,607"
2020-04-01,"1,526",303,29,"1,858"
2020-04-02,"1,456",308,26,"1,790"
2020-04-03,"1,297",319,37,"1,653"
2020-04-04,"1,491",263,31,"1,785"
2020-04-05,"1,605",247,26,"1,878"
2020-04-06,"1,539",416,40,"1,995"
2020-04-07,"1,559",430,42,"2,031"
2020-04-08,"1,478",378,48,"1,904"
2020-04-09,"1,431",404,50,"1,885"
2020-04-10,"1,211",331,31,"1,573"
2020-04-11,"1,266",265,39,"1,570"
2020-04-12,"1,320",242,32,"1,594"
2020-04-13,"1,093",317,31,"1,441"
2020-04-14,"1,101",319,28,"1,448"
2020-04-15,966,303,29,"1,298"
2020-04-16,"1,047",301,36,"1,384"
2020-04-17,"1,019",306,27,"1,352"
2020-04-18,"1,082",199,28,"1,309"
2020-04-19,"1,002",205,25,"1,232"
2020-04-20,936,297,21,"1,254"
2020-04-21,764,262,9,"1,035"
2020-04-22,894,286,12,"1,192"
2020-04-23,814,264,16,"1,094"
2020-04-24,803,274,31,"1,108"
2020-04-25,961,180,19,"1,160"
2020-04-26,872,200,25,"1,097"
2020-04-27,947,378,18,"1,343"
2020-04-28,804,290,21,"1,115"
2020-04-29,981,388,20,"1,389"
2020-04-30,947,380,22,"1,349"
2020-05-01,809,313,21,"1,143"
2020-05-02,"1,077",200,24,"1,301"
2020-05-03,935,197,24,"1,156"
2020-05-04,"1,128",302,22,"1,452"
2020-05-05,861,328,20,"1,209"
2020-05-06,794,284,13,"1,091"
2020-05-07,752,276,14,"1,042"
2020-05-08,742,251,11,"1,004"
2020-05-09,929,235,18,"1,182"
2020-05-10,806,202,15,"1,023"
2020-05-11,825,231,22,"1,078"
2020-05-12,755,256,17,"1,028"
2020-05-13,698,208,18,924
2020-05-14,685,267,27,979
2020-05-15,630,263,14,907
2020-05-16,876,185,19,"1,080"
2020-05-17,776,193,18,987
2020-05-18,915,309,16,"1,240"
2020-05-19,768,261,15,"1,044"
2020-05-20,653,221,10,884
2020-05-21,677,213,13,903
2020-05-22,629,220,9,858
2020-05-23,730,191,12,933
2020-05-24,712,167,18,897
2020-05-25,654,204,21,879
2020-05-26,545,186,9,740
2020-05-27,520,167,13,700
2020-05-28,545,155,10,710
2020-05-29,458,150,8,616
2020-05-30,515,128,10,653
2020-05-31,538,120,16,674
2020-06-01,499,170,4,673
2020-06-02,493,147,11,651
2020-06-03,472,119,11,602
2020-06-04,497,140,20,657
2020-06-05,546,181,14,741
2020-06-06,624,156,27,807
2020-06-07,636,128,20,784
2020-06-08,533,193,9,735
2020-06-09,471,175,18,664
2020-06-10,432,130,11,573
2020-06-11,453,115,18,586
2020-06-12,468,138,12,618
2020-06-13,583,124,22,729
2020-06-14,633,137,33,803
2020-06-15,507,149,17,673
2020-06-16,434,141,15,590
2020-06-17,407,120,9,536
