sex,age_group,number,rate
Male,0-4,7873,5624.294552
Male,5-14,4682,1541.226661
Male,15-44,14897,1455.592555
Male,45-64,13009,1790.938339
Male,65-74,4646,1678.474272
Male,75-84,3422,2316.325287
Male,85+,1747,3891.475286
Male,all,50276,1887.943799
Female,0-4,6991,5306.946627
Female,5-14,4328,1491.354417
Female,15-44,25697,2495.692728
Female,45-64,20092,2595.915942
Female,65-74,5400,1791.038836
Female,75-84,4179,2187.683223
Female,85+,2820,3430.907366
Female,all,69507,2482.129574
Unknown,0-4,34,
Unknown,5-14,28,
Unknown,15-44,109,
Unknown,45-64,50,
Unknown,65-74,11,
Unknown,75-84,6,
Unknown,85+,3,
Unknown,all,241,
Total,0-4,14898,5482.950886
Total,5-14,9038,1521.574437
Total,15-44,40703,1982.527766
Total,45-64,33151,2209.530487
Total,65-74,10057,1739.06277
Total,75-84,7607,2245.555825
Total,85+,4570,3595.961821
Total,all,120024,2196.913953
