Date,NumberCasesperDay,Cumulative, Average7 
2020-02-28,1,1,
2020-02-29,0,1,
2020-03-01,2,3,
2020-03-02,1,4,
2020-03-03,3,7,
2020-03-04,6,13,
2020-03-05,2,15,2.14
2020-03-06,6,21,2.86
2020-03-07,6,27,3.71
2020-03-08,3,30,3.86
2020-03-09,18,48,6.29
2020-03-10,19,67,8.57
2020-03-11,27,94,11.57
2020-03-12,40,134,17.00
2020-03-13,47,181,22.86
2020-03-14,18,199,24.57
2020-03-15,11,210,25.71
2020-03-16,21,231,26.14
2020-03-17,43,274,29.57
2020-03-18,41,315,31.57
2020-03-19,50,365,33.00
2020-03-20,82,447,38.00
2020-03-21,66,513,44.86
2020-03-22,75,588,54.00
2020-03-23,145,733,71.71
2020-03-24,169,902,89.71
2020-03-25,181,"1,083",109.71
2020-03-26,221,"1,304",134.14
2020-03-27,274,"1,578",161.57
2020-03-28,205,"1,783",181.43
2020-03-29,197,"1,980",198.86
2020-03-30,321,"2,301",224.00
2020-03-31,340,"2,641",248.43
2020-04-01,384,"3,025",277.43
2020-04-02,355,"3,380",296.57
2020-04-03,379,"3,759",311.57
2020-04-04,260,"4,019",319.43
2020-04-05,225,"4,244",323.43
2020-04-06,404,"4,648",335.29
2020-04-07,351,"4,999",336.86
2020-04-08,343,"5,342",331.00
2020-04-09,304,"5,646",323.71
2020-04-10,329,"5,975",316.57
2020-04-11,185,"6,160",305.86
2020-04-12,220,"6,380",305.14
2020-04-13,359,"6,739",298.71
2020-04-14,346,"7,085",298.00
2020-04-15,334,"7,419",296.71
2020-04-16,425,"7,844",314.00
2020-04-17,394,"8,238",323.29
2020-04-18,264,"8,502",334.57
2020-04-19,159,"8,661",325.86
2020-04-20,776,"9,437",385.43
2020-04-21,399,"9,836",393.00
2020-04-22,340,"10,176",393.86
2020-04-23,314,"10,490",378.00
2020-04-24,305,"10,795",365.29
2020-04-25,185,"10,980",354.00
2020-04-26,171,"11,151",355.71
2020-04-27,430,"11,581",306.29
2020-04-28,380,"11,961",303.57
2020-04-29,430,"12,391",316.43
2020-04-30,335,"12,726",319.43
2020-05-01,368,"13,094",328.43
2020-05-02,217,"13,311",333.00
2020-05-03,189,"13,500",335.57
2020-05-04,329,"13,829",321.14
2020-05-05,288,"14,117",308.00
2020-05-06,306,"14,423",290.29
2020-05-07,290,"14,713",283.86
2020-05-08,254,"14,967",267.57
2020-05-09,177,"15,144",261.86
2020-05-10,150,"15,294",256.29
2020-05-11,261,"15,555",246.57
2020-05-12,231,"15,786",238.43
2020-05-13,198,"15,984",223.00
2020-05-14,212,"16,196",211.86
2020-05-15,152,"16,348",197.29
2020-05-16,103,"16,451",186.71
