sex,age_group, number , rate 
Male,0-4,"12,944","9,246.90"
Male,5-14,"9,065","2,984.03"
Male,15-44,"27,228","2,660.46"
Male,45-64,"19,392","2,669.68"
Male,65-74,"6,174","2,230.50"
Male,75-84,"4,252","2,878.15"
Male,85+,"2,066","4,602.05"
Male,all,"81,121","3,046.22"
Female,0-4,"11,316","8,590.10"
Female,5-14,"8,061","2,777.68"
Female,15-44,"42,208","4,099.24"
Female,45-64,"28,619","3,697.62"
Female,65-74,"7,091","2,351.90"
Female,75-84,"5,224","2,734.73"
Female,85+,"3,370","4,100.06"
Female,all,"105,889","3,781.35"
Unknown,0-4,14,
Unknown,5-14,5,
Unknown,15-44,30,
Unknown,45-64,18,
Unknown,65-74,,
Unknown,75-84,1,
Unknown,85+,1,
Unknown,all,69,
Total,0-4,"24,274","8,933.63"
Total,5-14,"17,131","2,884.06"
Total,15-44,"69,466","3,383.49"
Total,45-64,"48,029","3,201.16"
Total,65-74,"13,265","2,293.79"
Total,75-84,"9,477","2,797.57"
Total,85+,"5,437","4,278.17"
Total,all,"187,079","3,424.29"
