date,count
20-Jan-20,"1,830"
21-Jan-20,"1,698"
22-Jan-20,"1,660"
23-Jan-20,"1,736"
24-Jan-20,"1,850"
25-Jan-20,"1,788"
26-Jan-20,"1,793"
27-Jan-20,"1,801"
28-Jan-20,"1,726"
29-Jan-20,"1,668"
30-Jan-20,"1,741"
31-Jan-20,"1,916"
01-Feb-20,"1,757"
02-Feb-20,"1,752"
03-Feb-20,"1,749"
04-Feb-20,"1,748"
05-Feb-20,"1,687"
06-Feb-20,"1,720"
07-Feb-20,"1,689"
08-Feb-20,"1,724"
09-Feb-20,"1,750"
10-Feb-20,"1,743"
11-Feb-20,"1,577"
12-Feb-20,"1,707"
13-Feb-20,"1,694"
14-Feb-20,"1,766"
15-Feb-20,"1,759"
16-Feb-20,"1,800"
17-Feb-20,"1,839"
18-Feb-20,"1,715"
19-Feb-20,"1,758"
20-Feb-20,"1,752"
21-Feb-20,"1,834"
22-Feb-20,"1,689"
23-Feb-20,"1,750"
24-Feb-20,"1,706"
25-Feb-20,"1,668"
26-Feb-20,"1,759"
27-Feb-20,"1,741"
28-Feb-20,"1,854"
29-Feb-20,"1,777"
01-Mar-20,"1,815"
02-Mar-20,"1,821"
03-Mar-20,"1,744"
04-Mar-20,"1,739"
05-Mar-20,"1,732"
06-Mar-20,"1,786"
07-Mar-20,"1,773"
08-Mar-20,"1,717"
09-Mar-20,"1,736"
10-Mar-20,"1,679"
11-Mar-20,"1,623"
12-Mar-20,"1,617"
13-Mar-20,"1,666"
14-Mar-20,"1,699"
15-Mar-20,"1,624"
16-Mar-20,"1,654"
17-Mar-20,"1,537"
18-Mar-20,"1,538"
19-Mar-20,"1,572"
20-Mar-20,"1,593"
21-Mar-20,"1,545"
22-Mar-20,"1,510"
23-Mar-20,"1,649"
24-Mar-20,"1,537"
25-Mar-20,"1,626"
26-Mar-20,"1,622"
27-Mar-20,"1,640"
28-Mar-20,"1,615"
29-Mar-20,"1,510"
30-Mar-20,"1,613"
31-Mar-20,"1,595"
01-Apr-20,"1,672"
02-Apr-20,"1,578"
03-Apr-20,"1,579"
04-Apr-20,"1,603"
05-Apr-20,"1,586"
06-Apr-20,"1,664"
07-Apr-20,"1,567"
08-Apr-20,"1,580"
09-Apr-20,"1,593"
10-Apr-20,"1,672"
11-Apr-20,"1,600"
12-Apr-20,"1,508"
13-Apr-20,"1,447"
14-Apr-20,"1,429"
15-Apr-20,"1,516"
16-Apr-20,"1,525"
17-Apr-20,"1,563"
18-Apr-20,"1,458"
19-Apr-20,"1,455"
