Date,selfhelp,isolate
2020-03-23,"37,858","16,553"
2020-03-24,"26,748","11,838"
2020-03-25,"25,503","11,420"
2020-03-26,"22,072","9,603"
2020-03-27,"20,979","9,308"
2020-03-28,"19,800","8,546"
2020-03-29,"18,603","8,077"
2020-03-30,"19,450","8,373"
2020-03-31,"15,488","6,776"
2020-04-01,"15,203","6,525"
2020-04-02,"13,335","5,631"
2020-04-03,"12,554","5,229"
2020-04-04,"11,293","4,676"
2020-04-05,"10,936","4,737"
2020-04-06,"14,848","6,451"
2020-04-07,"11,986","5,032"
2020-04-08,"10,434","4,469"
2020-04-09,"9,326","3,885"
2020-04-10,"7,980","3,289"
2020-04-11,"6,541","2,702"
2020-04-12,"5,976","2,583"
2020-04-13,"7,271","3,176"
2020-04-14,"7,201","3,200"
2020-04-15,"6,220","2,656"
2020-04-16,"5,896","2,521"
2020-04-17,"5,231","2,183"
2020-04-18,"4,119","1,731"
2020-04-19,"3,909","1,695"
2020-04-20,"5,017","2,165"
2020-04-21,"4,374","1,895"
2020-04-22,"4,219","1,812"
2020-04-23,"3,485","1,566"
2020-04-24,"2,708","1,271"
2020-04-25,"2,070",917
2020-04-26,"2,592","1,186"
2020-04-27,"3,339","1,504"
2020-04-28,"3,206","1,446"
2020-04-29,"3,232","1,383"
2020-04-30,"2,832","1,267"
2020-05-01,"2,448","1,025"
2020-05-02,"2,011",914
2020-05-03,"2,228",959
2020-05-04,"3,000","1,344"
2020-05-05,"2,532","1,137"
2020-05-06,"2,141",990
2020-05-07,"2,169",974
2020-05-08,"1,889",857
2020-05-09,"1,763",788
2020-05-10,"2,059",945
2020-05-11,"2,658","1,193"
2020-05-12,"2,579","1,088"
2020-05-13,"2,226",954
2020-05-14,"2,323",964
2020-05-15,"1,761",742
2020-05-16,"1,554",660
2020-05-17,"1,826",795
2020-05-18,"2,912","1,323"
2020-05-19,"1,979","1,017"
2020-05-20,"1,318",662
2020-05-21,"1,282",642
2020-05-22,"1,325",679
2020-05-23,"1,063",543
2020-05-24,"1,207",637
2020-05-25,"1,336",683
2020-05-26,"1,458",756
2020-05-27,"1,275",684
2020-05-28,"1,138",565
2020-05-29,822,419
2020-05-30,626,331
2020-05-31,879,467
2020-06-01,"1,225",654
2020-06-02,"1,237",678
2020-06-03,"1,341",682
2020-06-04,"1,361",663
2020-06-05,"1,230",598
2020-06-06,"1,063",502
2020-06-07,"1,142",558
2020-06-08,"1,705",771
2020-06-09,"1,619",714
2020-06-10,"1,623",755
2020-06-11,"1,311",608
2020-06-12,"1,184",495
2020-06-13,"1,076",500
2020-06-14,"1,037",489
2020-06-15,"1,454",669
2020-06-16,"1,398",657
2020-06-17,"1,209",568
2020-06-18,"1,170",514
2020-06-19,"1,049",467
2020-06-20,802,357
2020-06-21,"1,103",515
2020-06-22,"1,367",591
2020-06-23,"1,268",537
2020-06-24,"1,004",484
2020-06-25,839,355
2020-06-26,915,373
2020-06-27,974,411
2020-06-28,"1,101",495
2020-06-29,"1,295",546
2020-06-30,"1,197",506
2020-07-01,"1,339",587
2020-07-02,"1,197",523
2020-07-03,"1,169",453
2020-07-04,951,361
2020-07-05,"1,043",429
2020-07-06,"1,219",477
2020-07-07,"1,390",561
2020-07-08,"1,359",546
2020-07-09,"1,152",466
2020-07-10,954,394
2020-07-11,926,434
2020-07-12,"1,032",439
2020-07-13,"1,470",633
2020-07-14,"1,394",593
2020-07-15,"1,397",536
2020-07-16,"1,281",522
2020-07-17,"1,103",407
2020-07-18,960,413
2020-07-19,"1,149",471
2020-07-20,"1,489",529
2020-07-21,"1,518",600
2020-07-22,"1,544",611
2020-07-23,"1,342",561
2020-07-24,"1,007",408
2020-07-25,969,409
2020-07-26,"1,063",429
2020-07-27,"1,548",601
2020-07-28,"1,434",565
2020-07-29,"1,328",535
2020-07-30,"1,546",603
2020-07-31,"1,130",474
2020-08-01,"1,015",410
2020-08-02,"1,269",508
2020-08-03,"1,618",638
2020-08-04,"1,753",662
2020-08-05,"1,823",675
2020-08-06,"1,640",650
2020-08-07,"1,408",569
2020-08-08,948,371
2020-08-09,"1,314",514
2020-08-10,"1,772",708
2020-08-11,"1,577",607
2020-08-12,"1,279",548
2020-08-13,"1,465",607
2020-08-14,"1,572",670
2020-08-15,"1,384",612
2020-08-16,"2,049",944
2020-08-17,"2,607","1,125"
2020-08-18,"2,618","1,082"
2020-08-19,"2,704","1,186"
2020-08-20,"3,215","1,501"
2020-08-21,"3,294","1,502"
2020-08-22,"3,057","1,414"
2020-08-23,"4,900","2,352"
2020-08-24,"6,770","3,315"
2020-08-25,"5,543","2,605"
2020-08-26,"4,748","2,196"
2020-08-27,"4,592","2,166"
2020-08-28,"3,125","1,442"
2020-08-29,"2,795","1,293"
2020-08-30,"4,026","2,012"
2020-08-31,"5,116","2,505"
2020-09-01,"3,935","1,886"
2020-09-02,"3,464","1,676"
2020-09-03,"3,147","1,578"
2020-09-04,"2,444","1,135"
2020-09-05,"2,017",985
2020-09-06,"2,566","1,239"
2020-09-07,"3,496","1,670"
2020-09-08,"3,334","1,660"
2020-09-09,"3,182","1,476"
2020-09-10,"11,606","3,729"
2020-09-11,"8,213","2,825"
2020-09-12,"5,887","2,134"
2020-09-13,"6,361","2,541"
2020-09-14,"6,856","2,984"
2020-09-15,"5,845","2,621"
2020-09-16,"5,219","2,346"
2020-09-17,"4,458","1,872"
2020-09-18,"3,667","1,528"
2020-09-19,"3,126","1,260"
2020-09-20,"3,838","1,636"
